index,Unnamed: 0,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
0,0,Kraftwerk,Spacelab - 2009 Remaster,39,"['dusseldorf electronic', 'early synthpop', 'electro', 'new romantic', 'new wave', 'proto-techno', 'synthpop']",space cowboy,0.5179775280898877,0.7502791594761953,8,-8.764,1,0.02127291594603943,0.04136398924387906,0.8101522842639594,0.6811182701758218,0.12055850786704178,0.44633764465622866,48Q7pVDuBivnR5rdf6RGYT,spotify:track:48Q7pVDuBivnR5rdf6RGYT,https://api.spotify.com/v1/tracks/48Q7pVDuBivnR5rdf6RGYT,https://api.spotify.com/v1/audio-analysis/48Q7pVDuBivnR5rdf6RGYT,357107,4,3
4,4,Macross 82-99,Night In Tokyo Pt. II,37,"['future funk', 'kawaii future bass', 'vaporwave']",ｓｈｉｂｕｙａ,0.5325842696629214,0.8842757080499442,1,-8.237,1,0.05517122103078519,0.004295659209195371,0.6923857868020304,0.23446543627825706,0.597790976346775,0.30086453369639204,21Fai3HTlFEb45QLQ5jNb5,spotify:track:21Fai3HTlFEb45QLQ5jNb5,https://api.spotify.com/v1/tracks/21Fai3HTlFEb45QLQ5jNb5,https://api.spotify.com/v1/audio-analysis/21Fai3HTlFEb45QLQ5jNb5,174118,4,3
5,5,Lord Folter,Zurreal - Instrumental,1,"['german boom bap', 'german hip hop']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.6382022471910113,0.2579433560044666,4,-7.766,0,0.013490141819439645,0.09578174352014818,0.7756345177664974,0.11761493939063011,0.28206731270188595,0.4992716133424097,3iMc1pviZ5Yye1U2aJImLl,spotify:track:3iMc1pviZ5Yye1U2aJImLl,https://api.spotify.com/v1/tracks/3iMc1pviZ5Yye1U2aJImLl,https://api.spotify.com/v1/audio-analysis/3iMc1pviZ5Yye1U2aJImLl,128000,1,3
8,8,Fine Before You Came,Vixi,25,"['indie rock italiano', 'italian alternative', 'italian emo', 'italian indie pop', 'italian post-hardcore', 'milan indie']",D҉E҉S҉P҉A҉I҉R҉,0.302247191011236,0.9167597198253985,5,-7.027,1,0.014181943964026292,1.3423715399884096e-05,0.5147208121827411,0.3884459975974664,0.6300927373137439,0.22484683458134785,7MLBoJzx3MLsct1RYrVX3f,spotify:track:7MLBoJzx3MLsct1RYrVX3f,https://api.spotify.com/v1/tracks/7MLBoJzx3MLsct1RYrVX3f,https://api.spotify.com/v1/audio-analysis/7MLBoJzx3MLsct1RYrVX3f,286013,4,3
9,9,New Order,Blue Monday - 2016 Remaster,62,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",just another boring week,0.8168539325842697,0.7015531418130139,0,-9.548,1,0.059322033898305086,0.0007273806354341087,0.8934010152284263,0.05973572130610461,0.8718349484213817,0.49248468345813484,1RSy7B2vfPi84N80QJ6frX,spotify:track:1RSy7B2vfPi84N80QJ6frX,https://api.spotify.com/v1/tracks/1RSy7B2vfPi84N80QJ6frX,https://api.spotify.com/v1/audio-analysis/1RSy7B2vfPi84N80QJ6frX,450800,4,3
19,19,Verdena,Sino a Notte (D.I.),34,"['bergamo indie', 'italian alternative', 'italian indie pop']",verdena,0.6584269662921349,0.6680540046695768,7,-6.153,1,0.0017295053614666198,0.0005597096951363792,0.8903553299492385,0.2049797968767063,0.631134729603001,0.2520081688223282,1IlXpN0ORg4AASY39mSODo,spotify:track:1IlXpN0ORg4AASY39mSODo,https://api.spotify.com/v1/tracks/1IlXpN0ORg4AASY39mSODo,https://api.spotify.com/v1/audio-analysis/1IlXpN0ORg4AASY39mSODo,232107,4,3
22,22,Pink Floyd,When You're In - 2011 Remastered Version,35,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.5112359550561798,0.5888742259669069,2,-14.216,1,0.062262193012798346,0.022689261761616963,0.9604060913705582,0.06366713989297806,0.13931436907366884,0.7223825731790334,1TZd3vb87ScRAv9ya40CXI,spotify:track:1TZd3vb87ScRAv9ya40CXI,https://api.spotify.com/v1/tracks/1TZd3vb87ScRAv9ya40CXI,https://api.spotify.com/v1/audio-analysis/1TZd3vb87ScRAv9ya40CXI,151253,4,3
25,25,Pink Floyd,Obscured By Clouds - 2011 Remastered Version,39,"['album rock', 'art rock', 'classic rock', 'progressive rock', 'psychedelic rock', 'rock', 'symphonic rock']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.26292134831460673,0.28941224241193786,2,-17.06,1,0.006745070909719819,0.007910122592859002,0.6903553299492385,0.10451021076771869,0.01979785349588413,0.7242409802586793,3Dh9hsNDVAD0fwDng0K3rq,spotify:track:3Dh9hsNDVAD0fwDng0K3rq,https://api.spotify.com/v1/tracks/3Dh9hsNDVAD0fwDng0K3rq,https://api.spotify.com/v1/audio-analysis/3Dh9hsNDVAD0fwDng0K3rq,184693,4,3
41,41,Quercia,Pozzanghere,15,"['italian emo', 'italian indie pop', 'italian post-hardcore', 'sardinia indie']",D҉E҉S҉P҉A҉I҉R҉,0.4067415730337079,0.9512739823368186,1,-5.563,0,0.048772051193358694,0.00017416693421225835,0.7969543147208121,0.05143605984492738,0.0525164113785558,0.18381211708645334,46ur7BPC19mxFjyfebOFSd,spotify:track:46ur7BPC19mxFjyfebOFSd,https://api.spotify.com/v1/tracks/46ur7BPC19mxFjyfebOFSd,https://api.spotify.com/v1/audio-analysis/46ur7BPC19mxFjyfebOFSd,146902,4,3
51,51,Tomo Fujita,Just Funky,27,[],ｓｈｉｂｕｙａ,0.6629213483146068,0.6599330017257131,9,-13.224,1,0.048080249048772054,0.10441629493667795,0.8497461928934009,0.0834334388992028,0.8572470563717827,0.3938869979577944,6Udw2B4QbMxStBz2dYM3bB,spotify:track:6Udw2B4QbMxStBz2dYM3bB,https://api.spotify.com/v1/tracks/6Udw2B4QbMxStBz2dYM3bB,https://api.spotify.com/v1/audio-analysis/6Udw2B4QbMxStBz2dYM3bB,415427,4,3
52,52,M83,My Tears Are Becoming a Sea,64,"['french shoegaze', 'french synthpop', 'indietronica', 'metropopolis', 'neo-synthpop']",ｔｒａｉｎ　ｏｆ　ｔｈｏｕｇｈｔ　っでカ,0.10786516853932585,0.34625926301898285,8,-11.286,0,0.04686959529574542,0.09969741218578378,0.2781725888324873,0.605766080594081,0.03730332395540273,0.3596732471068755,08wnOyN1wyMaNrup3m353f,spotify:track:08wnOyN1wyMaNrup3m353f,https://api.spotify.com/v1/tracks/08wnOyN1wyMaNrup3m353f,https://api.spotify.com/v1/audio-analysis/08wnOyN1wyMaNrup3m353f,151827,1,3
58,58,Mac DeMarco,Moonlight on the River,72,"['edmonton indie', 'lo-fi indie']",♥ 𝗱𝗿𝗲𝗮𝗺𝘆 ♥,0.6696629213483147,0.47314993401685107,9,-8.631,1,0.03683846419923902,0.25301090070951615,0.8456852791878172,0.21371628262531395,0.4279462331978743,0.55858407079646,2fhOljbX79loRcdl47SFye,spotify:track:2fhOljbX79loRcdl47SFye,https://api.spotify.com/v1/tracks/2fhOljbX79loRcdl47SFye,https://api.spotify.com/v1/audio-analysis/2fhOljbX79loRcdl47SFye,422613,4,3
61,61,New Order,Blue Monday,72,"['alternative rock', 'art rock', 'dance rock', 'madchester', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'pop rock', 'post-punk', 'rock', 'synthpop', 'uk post-punk']",disco sadness,0.7820224719101124,0.6487666226779008,0,-13.34,1,0.07212037357315809,0.00198641871407694,0.8690355329949238,0.09904990717483891,0.9604042930082317,0.4933356024506467,6hHc7Pks7wtBIW8Z6A0iFq,spotify:track:6hHc7Pks7wtBIW8Z6A0iFq,https://api.spotify.com/v1/tracks/6hHc7Pks7wtBIW8Z6A0iFq,https://api.spotify.com/v1/audio-analysis/6hHc7Pks7wtBIW8Z6A0iFq,449160,4,3
73,73,Verdena,Pascolare,40,"['bergamo indie', 'italian alternative', 'italian indie pop']",verdena,0.5719101123595506,0.7908841741955132,2,-5.535,1,0.08318920788654446,0.0011430439245554262,0.49543147208121824,0.07076553456372173,0.5175575700739814,0.4480326752893124,6gk8VcqpxqiSkUPg6wodZ8,spotify:track:6gk8VcqpxqiSkUPg6wodZ8,https://api.spotify.com/v1/tracks/6gk8VcqpxqiSkUPg6wodZ8,https://api.spotify.com/v1/audio-analysis/6gk8VcqpxqiSkUPg6wodZ8,216453,4,3
84,84,72-HOUR POST FIGHT,HANG,6,['milan indie'],ｍｏｏｄｙ ｅａｒｇａｓｍ,0.2707865168539326,0.584813724494975,2,-9.903,1,0.034590107229332416,0.06566121532295124,0.499492385786802,0.39827454406464996,0.0997186620819006,0.2732947583390061,4LfGHdrxN7MIohy3BLhAIP,spotify:track:4LfGHdrxN7MIohy3BLhAIP,https://api.spotify.com/v1/tracks/4LfGHdrxN7MIohy3BLhAIP,https://api.spotify.com/v1/audio-analysis/4LfGHdrxN7MIohy3BLhAIP,313000,3,3
