index,Unnamed: 0,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
10,10,$uicideboy$,CLYDE (I Hope At Least One Of My Ex-Girlfriends Hears This),71,"['dark trap', 'new orleans rap', 'underground hip hop']",𝖑𝖆𝖘𝖙 𝖜𝖔𝖗𝖉𝖘,0.7056179775280899,0.682265759821338,7,-5.276,1,0.062435143548945006,0.12248861185499611,0.0,0.10123402861199082,0.3279149734291966,0.2928999319264805,59aL2q2UPYJkgLTSv0WTlB,spotify:track:59aL2q2UPYJkgLTSv0WTlB,https://api.spotify.com/v1/tracks/59aL2q2UPYJkgLTSv0WTlB,https://api.spotify.com/v1/audio-analysis/59aL2q2UPYJkgLTSv0WTlB,152137,4,4
18,18,Neffa,La Mia Signorina,50,"['italian adult pop', 'italian hip hop', 'italian indie pop', 'italian underground hip hop', 'rap napoletano']",hip h໐p ¢นlt,0.8382022471910113,0.4051365343619937,9,-5.315,1,0.025077827741265997,0.10441629493667795,0.0,0.058971278803101455,0.7103261435865373,0.3821579305650102,0kM3bPNUPgxaeOf7VzRQer,spotify:track:0kM3bPNUPgxaeOf7VzRQer,https://api.spotify.com/v1/tracks/0kM3bPNUPgxaeOf7VzRQer,https://api.spotify.com/v1/audio-analysis/0kM3bPNUPgxaeOf7VzRQer,202613,4,4
21,21,David Bowie,Starman - 2012 Remaster,76,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",space cowboy,0.4719101123595506,0.4437112983453457,5,-10.298,1,0.005015565548253199,0.16666538654421828,2.2639593908629437e-06,0.5675439554439228,0.5519433156194644,0.28953029271613345,0pQskrTITgmCMyr85tb9qq,spotify:track:0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/tracks/0pQskrTITgmCMyr85tb9qq,https://api.spotify.com/v1/audio-analysis/0pQskrTITgmCMyr85tb9qq,254293,4,4
23,23,Frah Quintale,Sotto effetto,36,"['italian hip hop', 'italian indie pop', 'milan indie']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.7842696629213484,0.7776875444117348,6,-7.621,0,0.6125907990314771,0.6054210806167202,0.001035532994923858,0.12089112154635798,0.7634677503386476,0.40601089176310406,2RjHQKFGzHE7ooHObB1g2S,spotify:track:2RjHQKFGzHE7ooHObB1g2S,https://api.spotify.com/v1/tracks/2RjHQKFGzHE7ooHObB1g2S,https://api.spotify.com/v1/audio-analysis/2RjHQKFGzHE7ooHObB1g2S,191704,4,4
26,26,Crim3s,Lost,67,"['sigilkore', 'witch house']",D҉E҉S҉P҉A҉I҉R҉,0.4842696629213483,0.6487666226779008,7,-4.93,1,0.014527845036319612,0.0006038864698256013,0.0005390862944162436,0.056787157365949546,0.09346670834635823,0.42179714091218506,3xd4GVGAuzJGdVZLEKvWea,spotify:track:3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/tracks/3xd4GVGAuzJGdVZLEKvWea,https://api.spotify.com/v1/audio-analysis/3xd4GVGAuzJGdVZLEKvWea,148000,4,4
29,29,Frah Quintale,Colpa Del Vino,49,"['italian hip hop', 'italian indie pop', 'milan indie']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.6887640449438204,0.6203431123743782,7,-5.352,1,0.3306814251124179,0.2971876753987383,0.0,0.08922136070765532,0.7269980202146504,0.15936010891763103,06pcJklH8rf0T5aHN64DTN,spotify:track:06pcJklH8rf0T5aHN64DTN,https://api.spotify.com/v1/tracks/06pcJklH8rf0T5aHN64DTN,https://api.spotify.com/v1/audio-analysis/06pcJklH8rf0T5aHN64DTN,173333,4,4
34,34,Funk Shui Project,"La luna, il fumo, le persiane",37,"['italian indie pop', 'rap napoletano']",hip h໐p ¢นlt,0.551685393258427,0.5320272053598619,4,-8.972,0,0.5226565202352128,0.352408643760266,0.0,0.096865785737687,0.8707929561321246,0.571790333560245,1tH4E6wM4F0w0uXksLb2lJ,spotify:track:1tH4E6wM4F0w0uXksLb2lJ,https://api.spotify.com/v1/tracks/1tH4E6wM4F0w0uXksLb2lJ,https://api.spotify.com/v1/audio-analysis/1tH4E6wM4F0w0uXksLb2lJ,177528,3,4
37,37,Marietta,"Chase, I Hardly Know Ya",31,"['alternative emo', 'diy emo', 'emo', 'midwest emo', 'philly indie']",✮,0.3471910112359551,0.5766927215511115,2,-8.845,1,0.029055690072639216,0.57429653481295,0.011675126903553299,0.10451021076771869,0.39981244138793376,0.5588223281143634,2K4h2jMvqQ8VEKPP7F7MWg,spotify:track:2K4h2jMvqQ8VEKPP7F7MWg,https://api.spotify.com/v1/tracks/2K4h2jMvqQ8VEKPP7F7MWg,https://api.spotify.com/v1/audio-analysis/2K4h2jMvqQ8VEKPP7F7MWg,220451,4,4
43,43,Fast Animals and Slow Kids,Asteroide,18,"['italian alternative', 'italian indie pop']",𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.26179775280898876,0.7695665414678713,0,-3.864,1,0.025250778277412657,0.19879394995456165,0.008223350253807106,0.096865785737687,0.060227154319058035,0.5244792375765828,14xq70Ita1KiDlx1YDY60z,spotify:track:14xq70Ita1KiDlx1YDY60z,https://api.spotify.com/v1/tracks/14xq70Ita1KiDlx1YDY60z,https://api.spotify.com/v1/audio-analysis/14xq70Ita1KiDlx1YDY60z,297440,4,4
47,47,Canova,Manzarek,48,['milan indie'],𝐢𝐥 𝐛𝐞𝐥 𝐩𝐚𝐞𝐬𝐞,0.5325842696629214,0.7847934219876155,7,-3.714,1,0.010895883777239705,0.2781113408738469,0.0,0.12307524298350989,0.5550692924872356,0.4012457454050375,1c545gcoPZglxnjHTxXBeX,spotify:track:1c545gcoPZglxnjHTxXBeX,https://api.spotify.com/v1/tracks/1c545gcoPZglxnjHTxXBeX,https://api.spotify.com/v1/audio-analysis/1c545gcoPZglxnjHTxXBeX,230717,4,4
60,60,Appino,Rockstar,31,"['italian alternative', 'italian indie pop']",17,0.5157303370786518,0.5513145873515379,9,-6.756,1,0.04341058457281218,0.3805211367443165,2.4568527918781724e-05,0.22354482909249754,0.4435761175367302,0.6122804628999319,2btYx23rPpKDmq0k2Ue381,spotify:track:2btYx23rPpKDmq0k2Ue381,https://api.spotify.com/v1/tracks/2btYx23rPpKDmq0k2Ue381,https://api.spotify.com/v1/audio-analysis/2btYx23rPpKDmq0k2Ue381,262827,4,4
63,63,Jaco Pastorius,Opus Pocus,33,"['electric bass', 'jazz', 'jazz funk', 'jazz fusion']",ｍｏｏｄｙ ｅａｒｇａｓｍ,0.556179775280899,0.6589178763577302,9,-9.631,1,0.07730888965755794,0.5451800242223264,0.5837563451776648,0.04422845910232608,0.6457226216525997,0.21347174948944864,1hk6KMDQwGWsdy08PYotmM,spotify:track:1hk6KMDQwGWsdy08PYotmM,https://api.spotify.com/v1/tracks/1hk6KMDQwGWsdy08PYotmM,https://api.spotify.com/v1/audio-analysis/1hk6KMDQwGWsdy08PYotmM,329267,4,4
64,64,Radiohead,No Surprises,81,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']","𝔬𝔫𝔢 𝔬𝔣 𝔱𝔥𝔬𝔰𝔢 𝔫𝔦𝔤𝔥𝔱𝔰 𝔞𝔤𝔞𝔦𝔫, 𝔥𝔲𝔥?",0.21235955056179778,0.38686427773830073,5,-10.654,1,0.006918021445866479,0.05793027975233737,0.00366497461928934,0.10123402861199082,0.10284463894967176,0.12594962559564332,10nyNJ6zNy2YVYLrcwLccB,spotify:track:10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/tracks/10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/audio-analysis/10nyNJ6zNy2YVYLrcwLccB,229120,4,4
68,68,John Coltrane,Giant Steps,55,"['bebop', 'free jazz', 'jazz', 'jazz saxophone']",ｍｏｏｄｙ ｅａｒｇａｓｍ,0.3943820224719101,0.4142726626738402,0,-13.046,0,0.06260809408509166,0.1867457386756829,0.0011269035532994924,0.1798624003494594,0.5185995623632385,0.6073451327433628,1ZXu0ib26kWfQQngREMcU2,spotify:track:1ZXu0ib26kWfQQngREMcU2,https://api.spotify.com/v1/tracks/1ZXu0ib26kWfQQngREMcU2,https://api.spotify.com/v1/audio-analysis/1ZXu0ib26kWfQQngREMcU2,287844,4,4
71,71,Willie Peyote,Sempre lo stesso film,40,"['italian hip hop', 'italian indie pop', 'rap napoletano', 'turin indie']",may '22,0.6505617977528091,0.5066490711602882,2,-10.633,0,0.3479764787270841,0.14156494637988748,4.294416243654822e-06,0.2945287757999344,0.1434823382306971,0.26426820966643977,5tVnb1FNyFtMQd9u5GMaYk,spotify:track:5tVnb1FNyFtMQd9u5GMaYk,https://api.spotify.com/v1/tracks/5tVnb1FNyFtMQd9u5GMaYk,https://api.spotify.com/v1/audio-analysis/5tVnb1FNyFtMQd9u5GMaYk,172520,4,4
74,74,Massimo Volume,Le nostre ore contate,32,"['italian alternative', 'italian indie pop', 'italian progressive rock']",17,0.3584269662921349,0.49446756674449294,11,-10.618,0,0.007955724662746452,0.08644437977901712,0.1482233502538071,0.08157693567762367,0.2508075440241742,0.35987066031313825,0OLhZTJcKwehJVbx10HB9X,spotify:track:0OLhZTJcKwehJVbx10HB9X,https://api.spotify.com/v1/tracks/0OLhZTJcKwehJVbx10HB9X,https://api.spotify.com/v1/audio-analysis/0OLhZTJcKwehJVbx10HB9X,273333,5,4
85,85,Quercia,Lynch,27,"['italian emo', 'italian indie pop', 'italian post-hardcore', 'sardinia indie']",17,0.6584269662921349,0.5523297127195209,6,-6.04,0,0.0022483569699066064,0.37650506631802355,3.573604060913706e-05,0.06475920061155402,0.17265812232989475,0.252219196732471,5VEY0m5OyyNsSi9dwx56Vj,spotify:track:5VEY0m5OyyNsSi9dwx56Vj,https://api.spotify.com/v1/tracks/5VEY0m5OyyNsSi9dwx56Vj,https://api.spotify.com/v1/audio-analysis/5VEY0m5OyyNsSi9dwx56Vj,187453,4,4
