index,Unnamed: 0,Artist Name,Track Name,Popularity,Genres,Playlist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,analysis_url,duration_ms,time_signature,cluster
2,2,Siouxsie and the Banshees,Spellbound,63,"['alternative rock', 'art rock', 'dream pop', 'gothic rock', 'new romantic', 'new wave', 'new wave pop', 'post-punk', 'uk post-punk']",october '21,0.3921348314606742,0.8538219470104558,7,-11.098,1,0.024558976132826003,0.010741452243395512,0.0005065989847715736,0.563175712569619,0.2945712201729707,0.6165418652144317,5Ng6UbryNd3eds2zQk9MUf,spotify:track:5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/tracks/5Ng6UbryNd3eds2zQk9MUf,https://api.spotify.com/v1/audio-analysis/5Ng6UbryNd3eds2zQk9MUf,197013,4,1
7,7,Belle and Sebastian,Legal Man,51,"['alternative rock', 'anti-folk', 'art rock', 'baroque pop', 'chamber pop', 'indie pop', 'indie rock', 'melancholia', 'pop rock', 'scottish indie', 'scottish rock', 'singer-songwriter', 'twee pop']",disco sadness,0.46966292134831467,0.8335194396507968,8,-6.128,1,0.175025942580422,0.05009894242106617,3.401015228426396e-06,0.06847220705471224,0.6769823903303116,0.603859768550034,7bs26A9QpVsAfYuE3MQfLC,spotify:track:7bs26A9QpVsAfYuE3MQfLC,https://api.spotify.com/v1/tracks/7bs26A9QpVsAfYuE3MQfLC,https://api.spotify.com/v1/audio-analysis/7bs26A9QpVsAfYuE3MQfLC,162653,4,1
11,11,Prozac+,Acida,52,['italian pop punk'],17,0.47415730337078654,0.9157445944574155,9,-7.531,0,0.05205811138014529,0.00019324326873714975,0.002345177664974619,0.055585890575516,0.5529853079087215,0.79286589516678,00NIByhDqGWbptOjm0dU4f,spotify:track:00NIByhDqGWbptOjm0dU4f,https://api.spotify.com/v1/tracks/00NIByhDqGWbptOjm0dU4f,https://api.spotify.com/v1/audio-analysis/00NIByhDqGWbptOjm0dU4f,157467,4,1
15,15,Nirvana,Lithium,71,"['grunge', 'permanent wave', 'rock']",𝔾𝔸𝕊,0.6876404494382024,0.6538422495178154,7,-6.41,1,0.024731926668972677,0.0017454544884993647,0.0,0.04674019875505079,0.48525580910701255,0.44440435670524164,5vHLwhxxlGzmClMcxRRFPr,spotify:track:5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/tracks/5vHLwhxxlGzmClMcxRRFPr,https://api.spotify.com/v1/audio-analysis/5vHLwhxxlGzmClMcxRRFPr,257053,4,1
16,16,Fabri Fibra,Momenti no,46,"['italian hip hop', 'rap napoletano']",hip h໐p ¢นlt,0.7269662921348314,0.7309917774845193,7,-4.464,1,0.5607056381874784,0.12750869988786226,0.0,0.13290378945069342,0.6019589455038032,0.7357249829816201,4fE5D8udvgEqCJKMqx69tl,spotify:track:4fE5D8udvgEqCJKMqx69tl,https://api.spotify.com/v1/tracks/4fE5D8udvgEqCJKMqx69tl,https://api.spotify.com/v1/audio-analysis/4fE5D8udvgEqCJKMqx69tl,259667,4,1
17,17,The Kooks,Naive,74,"['brighton indie', 'modern rock', 'rock']",𝔾𝔸𝕊,0.36516853932584276,0.8081413054512233,8,-6.209,0,0.11310965063991699,0.07620340019197017,0.0,0.1405482144807251,0.7478378659997915,0.288495575221239,7BHPGtpuuWWsvE7cCaMuEU,spotify:track:7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/tracks/7BHPGtpuuWWsvE7cCaMuEU,https://api.spotify.com/v1/audio-analysis/7BHPGtpuuWWsvE7cCaMuEU,203507,4,1
20,20,Black Sabbath,Children of the Grave,64,"['album rock', 'birmingham metal', 'classic rock', 'hard rock', 'metal', 'rock', 'stoner rock', 'uk doom metal']",𝔾𝔸𝕊,0.2752808988764045,0.6558725002537813,6,-13.529,1,0.029055690072639216,0.07088210687713205,0.10558375634517765,0.07939281424047176,0.3477128269250807,0.6391354663036077,3ZuVfQriS93y6ofwbIf7lp,spotify:track:3ZuVfQriS93y6ofwbIf7lp,https://api.spotify.com/v1/tracks/3ZuVfQriS93y6ofwbIf7lp,https://api.spotify.com/v1/audio-analysis/3ZuVfQriS93y6ofwbIf7lp,314720,4,1
28,28,Yung Bae,Fly With Me,41,['future funk'],ｓｈｉｂｕｙａ,0.5505617977528091,0.8731093290021318,2,-5.357,0,0.2874437910757524,0.003562726356396913,3.2182741116751267e-06,0.0855083542644971,0.5811190997186619,0.4906262763784888,5Jceu500e4SAup5qHKXJJB,spotify:track:5Jceu500e4SAup5qHKXJJB,https://api.spotify.com/v1/tracks/5Jceu500e4SAup5qHKXJJB,https://api.spotify.com/v1/audio-analysis/5Jceu500e4SAup5qHKXJJB,199385,4,1
30,30,Nu Genea,Tienaté,61,"['indie napoletano', 'neapolitan funk']",august '22,0.7112359550561798,0.8061110547152573,0,-7.428,1,0.0465236942234521,0.09638415408409211,0.008517766497461929,0.35896035819591565,0.9729082004793164,0.41444520081688224,1SIXMGcsAeA6sNxaY1EG3O,spotify:track:1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/tracks/1SIXMGcsAeA6sNxaY1EG3O,https://api.spotify.com/v1/audio-analysis/1SIXMGcsAeA6sNxaY1EG3O,278029,4,1
31,31,Bruce Springsteen,Born in the U.S.A.,72,"['classic rock', 'heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter']",𝘤𝘩𝘪𝘭𝘭 𝘥𝘳𝘪𝘷𝘪𝘯',0.3730337078651686,0.9543193584407674,4,-6.042,1,0.06433759944655829,0.0003729624203137581,7.868020304568527e-05,0.08703723927050344,0.5884130457434615,0.43682096664397546,0dOg1ySSI7NkpAe89Zo0b9,spotify:track:0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/tracks/0dOg1ySSI7NkpAe89Zo0b9,https://api.spotify.com/v1/audio-analysis/0dOg1ySSI7NkpAe89Zo0b9,278680,4,1
32,32,Travis Scott,goosebumps,54,"['rap', 'slap house']",🆁🅴🅰🅻 🆃🆁🅰🅿🅿🅸🅽',0.8797752808988765,0.6264338645822759,7,-6.27,1,0.040989277066758915,0.07921545301168986,0.0,0.11979906082778202,0.4664999479003855,0.491361470388019,6dWf1xaHOmJo7eL9WuSkdL,spotify:track:6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/tracks/6dWf1xaHOmJo7eL9WuSkdL,https://api.spotify.com/v1/audio-analysis/6dWf1xaHOmJo7eL9WuSkdL,243840,4,1
35,35,Gomma,Aprile,34,"['italian alternative', 'italian emo', 'italian indie pop']",17,0.46966292134831467,0.8913815856258248,8,-6.772,1,0.10549982704946387,0.01897439661729601,0.3928934010152284,0.0835426449710604,0.756173804313848,0.23590878148400268,2t48WArPDgZ8kZbNAqJwIj,spotify:track:2t48WArPDgZ8kZbNAqJwIj,https://api.spotify.com/v1/tracks/2t48WArPDgZ8kZbNAqJwIj,https://api.spotify.com/v1/audio-analysis/2t48WArPDgZ8kZbNAqJwIj,103205,4,1
36,36,The Drums,I Don't Know How To Love,61,"['brooklyn indie', 'indie rock', 'indie surf', 'modern rock']",【﻿ｍｅｌａｎｃｈｏｌｉａ】,0.38764044943820225,0.8913815856258248,11,-6.062,1,0.03424420615703908,0.06194635017863029,0.12893401015228426,0.22572895052964945,0.04959883296863603,0.7627365554799184,2YvWonOJesvP0yu9IFJY7S,spotify:track:2YvWonOJesvP0yu9IFJY7S,https://api.spotify.com/v1/tracks/2YvWonOJesvP0yu9IFJY7S,https://api.spotify.com/v1/audio-analysis/2YvWonOJesvP0yu9IFJY7S,202054,4,1
38,38,Dsa Commando,Effetto Werther,15,['italian underground hip hop'],hip h໐p ¢นlt,0.45168539325842705,0.8944269617297737,7,-4.712,1,0.5364925631269458,0.000376978490740051,0.0,0.2006115540024025,0.529019485255809,0.7913206262763786,0sWCkV8OtChoYGvuoyNfmf,spotify:track:0sWCkV8OtChoYGvuoyNfmf,https://api.spotify.com/v1/tracks/0sWCkV8OtChoYGvuoyNfmf,https://api.spotify.com/v1/audio-analysis/0sWCkV8OtChoYGvuoyNfmf,166490,4,1
39,39,Fabri Fibra,Venerdì diciassette,43,"['italian hip hop', 'rap napoletano']",just another boring week,0.5573033707865169,0.7360674043244341,9,-5.989,0,0.5209270148737462,0.021886047676358378,0.0,0.4124713334061374,0.5665312076690632,0.8563716814159292,5c2Pmd63YCGb50VzaDRitD,spotify:track:5c2Pmd63YCGb50VzaDRitD,https://api.spotify.com/v1/tracks/5c2Pmd63YCGb50VzaDRitD,https://api.spotify.com/v1/audio-analysis/5c2Pmd63YCGb50VzaDRitD,215240,4,1
